version:v1.0,,,,,,,,,,,,,,,,
Name (example: Chris Green) [displayName] *,User name (example: chris@contoso.com) [userPrincipalName] *,Initial password [passwordProfile] *,Block sign in (Yes/No) [accountEnabled] *,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Ashlynn Larkin,larkina@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ashlynn,Larkin,,,,,,,,,,,
Burdette Smith,smithb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Burdette,Smith,,,,,,,,,,,
Raymond Turcotte,turcotter@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Raymond,Turcotte,,,,,,,,,,,
Jonathon Armstrong,armstrongj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jonathon,Armstrong,,,,,,,,,,,
Athena Mertz,mertza@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Athena,Mertz,,,,,,,,,,,
Jailyn Fahey,faheyj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jailyn,Fahey,,,,,,,,,,,
Maybell Marvin,marvinm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Maybell,Marvin,,,,,,,,,,,
Josefa Abshire,abshirej@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Josefa,Abshire,,,,,,,,,,,
Christ Keebler,keeblerc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Christ,Keebler,,,,,,,,,,,
Ewald Heaney,heaneye@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ewald,Heaney,,,,,,,,,,,
Sarah Marquardt,marquardts@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Sarah,Marquardt,,,,,,,,,,,
Holden Raynor,raynorh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Holden,Raynor,,,,,,,,,,,
Oma Conn,conno@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Oma,Conn,,,,,,,,,,,
Tyra Johnston,johnstont@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tyra,Johnston,,,,,,,,,,,
Collin Leffler,lefflerc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Collin,Leffler,,,,,,,,,,,
Stephon Toy,toys@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Stephon,Toy,,,,,,,,,,,
Percival Volkman,volkmanp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Percival,Volkman,,,,,,,,,,,
Andreane Herman,hermana@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Andreane,Herman,,,,,,,,,,,
Ahmad Lynch,lyncha@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ahmad,Lynch,,,,,,,,,,,
Grady Zieme,ziemeg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Grady,Zieme,,,,,,,,,,,
Marco Gottlieb,gottliebm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marco,Gottlieb,,,,,,,,,,,
Alf Kerluke,kerlukea@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alf,Kerluke,,,,,,,,,,,
Marcelo Heidenreich,heidenreichm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marcelo,Heidenreich,,,,,,,,,,,
Gussie Cremin,creming@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gussie,Cremin,,,,,,,,,,,
Kirk Klocko,klockok@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kirk,Klocko,,,,,,,,,,,
Louvenia Terry,terryl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Louvenia,Terry,,,,,,,,,,,
Jamir Feeney,feeneyj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jamir,Feeney,,,,,,,,,,,
Kariane Steuber,steuberk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kariane,Steuber,,,,,,,,,,,
Gwen Torp,torpg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gwen,Torp,,,,,,,,,,,
Gwen Waters,watersg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gwen,Waters,,,,,,,,,,,
Luz Balistreri,balistreril@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Luz,Balistreri,,,,,,,,,,,
Cora Fritsch,fritschc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cora,Fritsch,,,,,,,,,,,
Arjun Johns,johnsa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Arjun,Johns,,,,,,,,,,,
Aditya Dickens,dickensa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Aditya,Dickens,,,,,,,,,,,
Isom Turcotte,turcottei@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Isom,Turcotte,,,,,,,,,,,
Kyla Shanahan,shanahank@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kyla,Shanahan,,,,,,,,,,,
